TimestampUTC,PhaseName
2019-03-17 20:37:00+00:00,Creciente Gibosa
2019-03-21 01:43:00+00:00,Luna Llena
2019-03-24 09:43:00+00:00,Menguante Gibosa
2019-03-28 04:10:00+00:00,Cuarto Menguante
2019-04-01 07:15:00+00:00,Menguante Cóncava
2019-04-05 08:51:00+00:00,Luna Nueva
2019-04-09 04:42:00+00:00,Creciente Cóncava
2019-04-12 19:06:00+00:00,Cuarto Creciente
2019-04-16 04:10:00+00:00,Creciente Gibosa
2019-04-19 11:13:00+00:00,Luna Llena
2019-04-22 23:35:00+00:00,Menguante Gibosa
2019-04-26 22:19:00+00:00,Cuarto Menguante
2019-05-01 01:18:00+00:00,Menguante Cóncava
2019-05-04 22:46:00+00:00,Luna Nueva
2019-05-08 13:51:00+00:00,Creciente Cóncava
2019-05-12 01:13:00+00:00,Cuarto Creciente
2019-05-15 10:31:00+00:00,Creciente Gibosa
2019-05-18 21:12:00+00:00,Luna Llena
2019-05-22 14:53:00+00:00,Menguante Gibosa
2019-05-26 16:34:00+00:00,Cuarto Menguante
2019-05-30 17:22:00+00:00,Menguante Cóncava
2019-06-03 10:02:00+00:00,Luna Nueva
2019-06-06 20:43:00+00:00,Creciente Cóncava
2019-06-10 06:00:00+00:00,Cuarto Creciente
2019-06-13 16:58:00+00:00,Creciente Gibosa
2019-06-17 08:31:00+00:00,Luna Llena
2019-06-21 07:07:00+00:00,Menguante Gibosa
2019-06-25 09:47:00+00:00,Cuarto Menguante
2019-06-29 07:12:00+00:00,Menguante Cóncava
2019-07-02 19:17:00+00:00,Luna Nueva
2019-07-06 02:25:00+00:00,Creciente Cóncava
2019-07-09 10:55:00+00:00,Cuarto Creciente
2019-07-13 00:58:00+00:00,Creciente Gibosa
2019-07-16 21:39:00+00:00,Luna Llena
2019-07-20 23:34:00+00:00,Menguante Gibosa
2019-07-25 01:19:00+00:00,Cuarto Menguante
2019-07-28 18:59:00+00:00,Menguante Cóncava
2019-08-01 03:12:00+00:00,Luna Nueva
2019-08-04 08:07:00+00:00,Creciente Cóncava
2019-08-07 17:31:00+00:00,Cuarto Creciente
2019-08-11 11:39:00+00:00,Creciente Gibosa
2019-08-15 12:30:00+00:00,Luna Llena
2019-08-19 15:28:00+00:00,Menguante Gibosa
2019-08-23 14:57:00+00:00,Cuarto Menguante
2019-08-27 05:06:00+00:00,Menguante Cóncava
2019-08-30 10:38:00+00:00,Luna Nueva
2019-09-02 15:07:00+00:00,Creciente Cóncava
2019-09-06 03:11:00+00:00,Cuarto Creciente
2019-09-10 01:33:00+00:00,Creciente Gibosa
2019-09-14 04:33:00+00:00,Luna Llena
2019-09-18 06:20:00+00:00,Menguante Gibosa
2019-09-22 02:41:00+00:00,Cuarto Menguante
2019-09-25 13:56:00+00:00,Menguante Cóncava
2019-09-28 18:27:00+00:00,Luna Nueva
2019-10-02 00:40:00+00:00,Creciente Cóncava
2019-10-05 16:48:00+00:00,Cuarto Creciente
2019-10-09 18:28:00+00:00,Creciente Gibosa
2019-10-13 21:08:00+00:00,Luna Llena
2019-10-17 19:52:00+00:00,Menguante Gibosa
2019-10-21 12:40:00+00:00,Cuarto Menguante
2019-10-24 22:03:00+00:00,Menguante Cóncava
2019-10-28 03:39:00+00:00,Luna Nueva
2019-10-31 13:42:00+00:00,Creciente Cóncava
2019-11-04 10:24:00+00:00,Cuarto Creciente
2019-11-08 13:30:00+00:00,Creciente Gibosa
2019-11-12 13:35:00+00:00,Luna Llena
2019-11-16 07:55:00+00:00,Menguante Gibosa
2019-11-19 21:11:00+00:00,Cuarto Menguante
2019-11-23 06:15:00+00:00,Menguante Cóncava
2019-11-26 15:06:00+00:00,Luna Nueva
2019-11-30 06:25:00+00:00,Creciente Cóncava
2019-12-04 06:59:00+00:00,Cuarto Creciente
2019-12-08 09:24:00+00:00,Creciente Gibosa
2019-12-12 05:13:00+00:00,Luna Llena
2019-12-15 18:32:00+00:00,Menguante Gibosa
2019-12-19 04:58:00+00:00,Cuarto Menguante
2019-12-22 15:26:00+00:00,Menguante Cóncava
2019-12-26 05:14:00+00:00,Luna Nueva
2019-12-30 01:58:00+00:00,Creciente Cóncava
2020-01-03 04:46:00+00:00,Cuarto Creciente
2020-01-07 04:40:00+00:00,Creciente Gibosa
2020-01-10 19:22:00+00:00,Luna Llena
2020-01-14 04:01:00+00:00,Menguante Gibosa
2020-01-17 12:59:00+00:00,Cuarto Menguante
2020-01-21 02:29:00+00:00,Menguante Cóncava
2020-01-24 21:42:00+00:00,Luna Nueva
2020-01-28 22:40:00+00:00,Creciente Cóncava
2020-02-02 01:42:00+00:00,Cuarto Creciente
2020-02-05 21:49:00+00:00,Creciente Gibosa
2020-02-09 07:34:00+00:00,Luna Llena
2020-02-12 12:57:00+00:00,Menguante Gibosa
2020-02-15 22:18:00+00:00,Cuarto Menguante
2020-02-19 15:45:00+00:00,Menguante Cóncava
2020-02-23 15:33:00+00:00,Luna Nueva
2020-02-27 18:38:00+00:00,Creciente Cóncava
2020-03-02 19:58:00+00:00,Cuarto Creciente
2020-03-06 11:48:00+00:00,Creciente Gibosa
2020-03-09 17:48:00+00:00,Luna Llena
2020-03-12 22:06:00+00:00,Menguante Gibosa
2020-03-16 09:35:00+00:00,Cuarto Menguante
2020-03-20 06:58:00+00:00,Menguante Cóncava
2020-03-24 09:29:00+00:00,Luna Nueva
2020-03-28 12:19:00+00:00,Creciente Cóncava
2020-04-01 10:22:00+00:00,Cuarto Creciente
2020-04-04 22:18:00+00:00,Creciente Gibosa
2020-04-08 02:36:00+00:00,Luna Llena
2020-04-11 08:06:00+00:00,Menguante Gibosa
2020-04-14 22:57:00+00:00,Cuarto Menguante
2020-04-18 23:24:00+00:00,Menguante Cóncava
2020-04-23 02:26:00+00:00,Luna Nueva
2020-04-27 02:47:00+00:00,Creciente Cóncava
2020-04-30 20:39:00+00:00,Cuarto Creciente
2020-05-04 05:56:00+00:00,Creciente Gibosa
2020-05-07 10:46:00+00:00,Luna Llena
2020-05-10 19:24:00+00:00,Menguante Gibosa
2020-05-14 14:03:00+00:00,Cuarto Menguante
2020-05-18 16:16:00+00:00,Menguante Cóncava
2020-05-22 17:39:00+00:00,Luna Nueva
2020-05-26 13:45:00+00:00,Creciente Cóncava
2020-05-30 03:30:00+00:00,Cuarto Creciente
2020-06-02 11:51:00+00:00,Creciente Gibosa
2020-06-05 19:13:00+00:00,Luna Llena
2020-06-09 08:10:00+00:00,Menguante Gibosa
2020-06-13 06:24:00+00:00,Cuarto Menguante
2020-06-17 08:51:00+00:00,Menguante Cóncava
2020-06-21 06:42:00+00:00,Luna Nueva
2020-06-24 21:42:00+00:00,Creciente Cóncava
2020-06-28 08:16:00+00:00,Cuarto Creciente
2020-07-01 17:26:00+00:00,Creciente Gibosa
2020-07-05 04:45:00+00:00,Luna Llena
2020-07-08 22:26:00+00:00,Menguante Gibosa
2020-07-12 23:30:00+00:00,Cuarto Menguante
2020-07-17 00:32:00+00:00,Menguante Cóncava
2020-07-20 17:33:00+00:00,Luna Nueva
2020-07-24 03:43:00+00:00,Creciente Cóncava
2020-07-27 12:33:00+00:00,Cuarto Creciente
2020-07-31 00:02:00+00:00,Creciente Gibosa
2020-08-03 15:59:00+00:00,Luna Llena
2020-08-07 14:07:00+00:00,Menguante Gibosa
2020-08-11 16:45:00+00:00,Cuarto Menguante
2020-08-15 14:48:00+00:00,Menguante Cóncava
2020-08-19 02:42:00+00:00,Luna Nueva
2020-08-22 09:14:00+00:00,Creciente Cóncava
2020-08-25 17:58:00+00:00,Cuarto Creciente
2020-08-29 08:47:00+00:00,Creciente Gibosa
2020-09-02 05:23:00+00:00,Luna Llena
2020-09-06 07:00:00+00:00,Menguante Gibosa
2020-09-10 09:26:00+00:00,Cuarto Menguante
2020-09-14 03:25:00+00:00,Menguante Cóncava
2020-09-17 11:01:00+00:00,Luna Nueva
2020-09-20 15:44:00+00:00,Creciente Cóncava
2020-09-24 01:55:00+00:00,Cuarto Creciente
2020-09-27 20:33:00+00:00,Creciente Gibosa
2020-10-01 21:06:00+00:00,Luna Llena
2020-10-06 00:26:00+00:00,Menguante Gibosa
2020-10-10 00:40:00+00:00,Cuarto Menguante
2020-10-13 14:29:00+00:00,Menguante Cóncava
2020-10-16 19:32:00+00:00,Luna Nueva
2020-10-20 00:29:00+00:00,Creciente Cóncava
2020-10-23 13:23:00+00:00,Cuarto Creciente
2020-10-27 11:48:00+00:00,Creciente Gibosa
2020-10-31 14:50:00+00:00,Luna Llena
2020-11-04 17:20:00+00:00,Menguante Gibosa
2020-11-08 13:47:00+00:00,Cuarto Menguante
